t: 29.44, u: 0.32, e: -0.58, s: 30.00
t: 29.68, u: 0.25, e: -0.45, s: 30.00
t: 29.73, u: 0.10, e: -0.19, s: 30.00
t: 29.86, u: 0.08, e: -0.15, s: 30.00
t: 29.99, u: 0.00, e: -0.01, s: 30.00
t: 30.01, u: 0.00, e: 0.03, s: 30.00
t: 30.12, u: 0.00, e: 0.07, s: 30.00
t: 30.14, u: 0.00, e: 0.29, s: 30.00
t: 30.18, u: 0.00, e: 0.29, s: 30.00
t: 30.39, u: 0.00, e: 0.29, s: 30.00
t: 30.28, u: 0.00, e: 0.29, s: 30.00
t: 30.26, u: 0.00, e: 0.29, s: 30.00
t: 30.39, u: 0.00, e: 0.29, s: 30.00
t: 30.20, u: 0.00, e: 0.29, s: 30.00
t: 30.33, u: 0.00, e: 0.29, s: 30.00
t: 30.24, u: 0.00, e: 0.29, s: 30.00
t: 30.22, u: 0.00, e: 0.29, s: 30.00
t: 30.20, u: 0.00, e: 0.29, s: 30.00
t: 30.09, u: 0.00, e: 0.29, s: 30.00
t: 29.98, u: 0.00, e: 0.29, s: 30.00
t: 29.91, u: 0.00, e: 0.29, s: 30.00
t: 29.72, u: 0.00, e: 0.29, s: 30.00
t: 29.72, u: 0.15, e: -0.28, s: 30.00
t: 29.56, u: 0.19, e: -0.35, s: 30.00
t: 29.39, u: 0.31, e: -0.57, s: 30.00
t: 29.24, u: 0.39, e: -0.72, s: 30.00
t: 29.15, u: 0.42, e: -0.77, s: 30.00
t: 29.10, u: 0.36, e: -0.66, s: 30.00
t: 29.02, u: 0.56, e: -1.03, s: 30.00
t: 29.06, u: 0.59, e: -1.09, s: 30.00
t: 28.91, u: 0.59, e: -1.09, s: 30.00
t: 28.79, u: 0.66, e: -1.21, s: 30.00
t: 28.77, u: 0.65, e: -1.20, s: 30.00
t: 29.08, u: 0.69, e: -1.27, s: 30.00
t: 28.71, u: 0.62, e: -1.14, s: 30.00
t: 28.77, u: 0.68, e: -1.25, s: 30.00
t: 28.75, u: 0.57, e: -1.05, s: 30.00
t: 28.84, u: 0.56, e: -1.03, s: 30.00
t: 28.81, u: 0.61, e: -1.12, s: 30.00
t: 28.94, u: 0.62, e: -1.14, s: 30.00
t: 28.90, u: 0.56, e: -1.03, s: 30.00
t: 29.01, u: 0.62, e: -1.14, s: 30.00
t: 29.04, u: 0.54, e: -0.99, s: 30.00
t: 28.95, u: 0.49, e: -0.90, s: 30.00
t: 29.23, u: 0.50, e: -0.92, s: 30.00
t: 29.21, u: 0.42, e: -0.77, s: 30.00
t: 29.27, u: 0.37, e: -0.68, s: 30.00
t: 29.36, u: 0.43, e: -0.79, s: 30.00
t: 29.45, u: 0.37, e: -0.68, s: 30.00
t: 29.43, u: 0.34, e: -0.63, s: 30.00
t: 29.67, u: 0.26, e: -0.48, s: 30.00
t: 29.74, u: 0.13, e: -0.24, s: 30.00
t: 29.62, u: 0.25, e: -0.46, s: 30.00
t: 29.78, u: 0.23, e: -0.42, s: 30.00
t: 29.75, u: 0.12, e: -0.22, s: 30.00
t: 29.78, u: 0.00, e: 0.02, s: 30.00
t: 29.95, u: 0.14, e: -0.26, s: 30.00
t: 29.86, u: 0.00, e: 0.08, s: 30.00
t: 29.77, u: 0.04, e: -0.07, s: 30.00
t: 29.95, u: 0.00, e: 0.08, s: 30.00
t: 29.97, u: 0.11, e: -0.19, s: 30.00
t: 30.06, u: 0.01, e: -0.01, s: 30.00
t: 30.10, u: 0.00, e: 0.10, s: 30.00
t: 30.18, u: 0.00, e: 0.14, s: 30.00
t: 30.25, u: 0.00, e: 0.19, s: 30.00
t: 30.27, u: 0.00, e: 0.27, s: 30.00
t: 30.32, u: 0.00, e: 0.27, s: 30.00
t: 30.42, u: 0.00, e: 0.27, s: 30.00
t: 30.42, u: 0.00, e: 0.27, s: 30.00
t: 30.53, u: 0.00, e: 0.27, s: 30.00
t: 30.56, u: 0.00, e: 0.27, s: 30.00
t: 30.77, u: 0.00, e: 0.27, s: 30.00
t: 30.70, u: 0.00, e: 0.27, s: 30.00
t: 30.64, u: 0.00, e: 0.27, s: 30.00
t: 30.66, u: 0.00, e: 0.27, s: 30.00
t: 30.57, u: 0.00, e: 0.27, s: 30.00
t: 30.57, u: 0.00, e: 0.27, s: 30.00
t: 30.47, u: 0.00, e: 0.27, s: 30.00
t: 30.29, u: 0.00, e: 0.27, s: 30.00
t: 30.36, u: 0.00, e: 0.27, s: 30.00
t: 30.21, u: 0.00, e: 0.27, s: 30.00
t: 30.05, u: 0.00, e: 0.27, s: 30.00
t: 29.97, u: 0.00, e: 0.27, s: 30.00
t: 29.84, u: 0.00, e: 0.27, s: 30.00
t: 29.77, u: 0.16, e: -0.29, s: 30.00
t: 29.60, u: 0.22, e: -0.40, s: 30.00
t: 29.51, u: 0.26, e: -0.47, s: 30.00
t: 29.29, u: 0.36, e: -0.66, s: 30.00
t: 29.20, u: 0.44, e: -0.80, s: 30.00
t: 28.96, u: 0.56, e: -1.02, s: 30.00
t: 28.89, u: 0.62, e: -1.13, s: 30.00
t: 28.78, u: 0.64, e: -1.17, s: 30.00
t: 28.74, u: 0.68, e: -1.24, s: 30.00
t: 28.67, u: 0.70, e: -1.28, s: 30.00
t: 28.61, u: 0.75, e: -1.37, s: 30.00
t: 28.56, u: 0.79, e: -1.46, s: 30.00
t: 28.50, u: 0.79, e: -1.46, s: 30.00
t: 28.47, u: 0.83, e: -1.53, s: 30.00
t: 28.39, u: 0.89, e: -1.64, s: 30.00
t: 28.34, u: 0.89, e: -1.64, s: 30.00
t: 28.25, u: 0.93, e: -1.72, s: 30.00
t: 28.27, u: 0.97, e: -1.79, s: 30.00
t: 28.23, u: 0.99, e: -1.83, s: 30.00
t: 28.10, u: 1.02, e: -1.88, s: 30.00
t: 28.08, u: 1.05, e: -1.93, s: 30.00
t: 28.07, u: 1.06, e: -1.95, s: 30.00
t: 28.01, u: 1.10, e: -2.03, s: 30.00
t: 27.94, u: 1.12, e: -2.06, s: 30.00
t: 27.86, u: 1.16, e: -2.14, s: 30.00
t: 27.88, u: 1.17, e: -2.15, s: 30.00
t: 27.74, u: 1.21, e: -2.23, s: 30.00
t: 27.72, u: 1.20, e: -2.21, s: 30.00
t: 27.72, u: 1.25, e: -2.30, s: 30.00
t: 27.72, u: 1.26, e: -2.32, s: 30.00
t: 27.61, u: 1.30, e: -2.39, s: 30.00
t: 27.61, u: 1.33, e: -2.44, s: 30.00
t: 27.57, u: 1.33, e: -2.44, s: 30.00
t: 27.54, u: 1.34, e: -2.46, s: 30.00
t: 27.66, u: 1.27, e: -2.34, s: 30.00
t: 27.65, u: 1.25, e: -2.30, s: 30.00
t: 27.61, u: 1.29, e: -2.37, s: 30.00
t: 27.61, u: 1.33, e: -2.45, s: 30.00
t: 27.50, u: 1.32, e: -2.43, s: 30.00
t: 27.54, u: 1.35, e: -2.48, s: 30.00
t: 27.48, u: 1.37, e: -2.52, s: 30.00
t: 27.43, u: 1.41, e: -2.59, s: 30.00
t: 27.43, u: 1.44, e: -2.65, s: 30.00
t: 27.37, u: 1.43, e: -2.63, s: 30.00
t: 27.32, u: 1.46, e: -2.68, s: 30.00
t: 27.34, u: 1.49, e: -2.74, s: 30.00
t: 27.25, u: 1.50, e: -2.75, s: 30.00
t: 27.23, u: 1.52, e: -2.79, s: 30.00
t: 27.21, u: 1.51, e: -2.77, s: 30.00
t: 27.17, u: 1.53, e: -2.81, s: 30.00
t: 27.17, u: 1.57, e: -2.88, s: 30.00
t: 27.12, u: 1.56, e: -2.86, s: 30.00
t: 27.08, u: 1.57, e: -2.88, s: 30.00
t: 27.05, u: 1.60, e: -2.94, s: 30.00
t: 27.03, u: 1.62, e: -2.97, s: 30.00
t: 26.97, u: 1.64, e: -3.01, s: 30.00
t: 26.97, u: 1.66, e: -3.04, s: 30.00
t: 26.97, u: 1.69, e: -3.10, s: 30.00
t: 26.96, u: 1.67, e: -3.06, s: 30.00
t: 26.90, u: 1.69, e: -3.12, s: 30.00
t: 26.88, u: 1.70, e: -3.13, s: 30.00
t: 26.85, u: 1.72, e: -3.17, s: 30.00
t: 26.81, u: 1.72, e: -3.15, s: 30.00
t: 26.76, u: 0.80, e: -3.24, s: 30.00
t: 26.77, u: 0.81, e: -3.26, s: 30.00
t: 26.76, u: 0.80, e: -3.23, s: 30.00
t: 26.76, u: 0.81, e: -3.26, s: 30.00
t: 26.67, u: 0.81, e: -3.26, s: 30.00
t: 26.68, u: 0.82, e: -3.32, s: 30.00
t: 26.63, u: 0.83, e: -3.37, s: 30.00
t: 26.67, u: 0.84, e: -3.39, s: 30.00
t: 26.65, u: 0.83, e: -3.37, s: 30.00
t: 26.58, u: 0.85, e: -3.43, s: 30.00
t: 26.56, u: 0.84, e: -3.41, s: 30.00
t: 26.52, u: 0.86, e: -3.46, s: 30.00
t: 26.54, u: 0.86, e: -3.48, s: 30.00
t: 26.50, u: 0.86, e: -3.50, s: 30.00
t: 26.50, u: 0.86, e: -3.50, s: 30.00
t: 26.50, u: 0.86, e: -3.50, s: 30.00
t: 26.43, u: 0.87, e: -3.53, s: 30.00
t: 26.43, u: 0.88, e: -3.55, s: 30.00
t: 26.41, u: 0.89, e: -3.61, s: 30.00
t: 26.39, u: 0.89, e: -3.61, s: 30.00
t: 26.38, u: 0.90, e: -3.64, s: 30.00
t: 26.38, u: 0.90, e: -3.66, s: 30.00
t: 26.36, u: 0.91, e: -3.70, s: 30.00
t: 26.34, u: 0.91, e: -3.70, s: 30.00
t: 26.30, u: 0.91, e: -3.70, s: 30.00
t: 26.29, u: 0.92, e: -3.73, s: 30.00
t: 26.23, u: 0.92, e: -3.71, s: 30.00
t: 26.25, u: 0.93, e: -3.77, s: 30.00
t: 26.25, u: 0.93, e: -3.77, s: 30.00
t: 26.21, u: 0.94, e: -3.79, s: 30.00
t: 26.21, u: 0.94, e: -3.82, s: 30.00
t: 26.14, u: 0.94, e: -3.79, s: 30.00
t: 26.16, u: 0.95, e: -3.86, s: 30.00
t: 26.12, u: 0.94, e: -3.80, s: 30.00
t: 26.18, u: 0.95, e: -3.86, s: 30.00
t: 26.09, u: 0.96, e: -3.88, s: 30.00
t: 26.11, u: 0.96, e: -3.88, s: 30.00
t: 26.05, u: 0.98, e: -3.95, s: 30.00
t: 26.05, u: 0.97, e: -3.91, s: 30.00
t: 26.07, u: 0.97, e: -3.93, s: 30.00
t: 26.02, u: 0.98, e: -3.95, s: 30.00
t: 26.03, u: 0.98, e: -3.95, s: 30.00
t: 26.03, u: 0.99, e: -4.00, s: 30.00
t: 26.00, u: 0.98, e: -3.97, s: 30.00
t: 26.01, u: 0.98, e: -3.95, s: 30.00
t: 25.98, u: 1.00, e: -4.06, s: 30.00
t: 26.00, u: 0.99, e: -4.00, s: 30.00
